,alpha,gamma,b,loc,scale
0,0.5,0.0,1.479268964188328,-0.0010107955993017379,0.956555168064164
1,0.5,0.1,0.19210808491377357,0.004395708132117333,0.002720635911417155
2,0.5,0.2,0.24507139641046746,0.0004623563641602573,0.01091741807896758
3,0.5,0.30000000000000004,0.1942253918491303,0.0030909187563326022,0.002838876865388187
4,0.5,0.4,0.20662381864662205,0.0006332530184187755,0.004421486935764746
5,0.5,0.5,3.182667246719415,-3.2253897973330297,2.2664183386220165
6,0.5,0.6000000000000001,0.2608377772427971,0.00021952005841610283,0.012653488013198032
7,0.5,0.7000000000000001,1.7262942862452784,-0.0014942146220144124,1.068298082287002
8,0.5,0.8,1.5456952165689288,0.0011329577436931426,1.0499752137811214
9,0.5,0.9,0.24900846829689965,0.004235325878335588,0.011199825279460483
10,0.5,1.0,1.71404045827067,0.0009055901692361745,0.000719897018467363
11,0.5,1.1,0.34937145305741757,-0.04454371121643058,0.04594462698208503
12,0.5,1.2000000000000002,0.24522264190857185,0.00406363761005505,0.008985903461560234
13,0.5,1.3,0.2871517749593615,0.0001572153041737208,0.019591790897527953
14,0.5,1.4000000000000001,1.7369146891423757,-0.0018628027986007513,1.0108826709627623
15,0.5,1.5,1.6772612449035642,-0.0011627734028507488,1.0722609801363672
16,0.5,1.6,0.23892388344171434,0.003812966763089287,0.008200225262897903
17,0.5,1.7000000000000002,0.2961621948106612,0.003987977519247728,0.01923466558335586
18,0.5,1.8,0.25759912029802595,0.004610571635149193,0.011734590932277102
19,0.5,1.9000000000000001,1.4259378761286676,0.00250837544521304,0.0026089523670559884
20,0.5,2.0,0.2368110918039226,-0.0019884055296897868,0.00876808712460302
21,0.5,2.1,0.19591400038459134,0.0004086554938934691,0.0034886310727468067
22,0.5,2.2,106869.68388751952,-107603.58335408306,107604.58614672396
23,0.5,2.3000000000000003,0.25599822116493576,0.0005343621395136963,0.012049341407340774
24,0.5,2.4000000000000004,0.1928849331000971,0.0007206021747912707,0.00364166021137038
25,0.5,2.5,0.17980698219904212,0.005534712597667187,0.0018647533468469646
26,0.5,2.6,0.16778855530564277,0.004335425092920847,0.0009177047659329105
27,0.5,2.7,0.20534120262982708,0.008410579586299618,0.0034879870152562187
28,0.5,2.8000000000000003,0.24817183133586815,0.000422578669074955,0.011003155157348983
29,0.5,2.9000000000000004,11.249478680963477,-10.916211556693778,9.950551638334137
30,0.5,3.0,12.652179208575387,-11.40280005340807,11.407643838042508
31,0.5,3.1,0.25502288965480596,0.00044929734747362765,0.012142683213367061
32,0.5,3.2,0.276460368649831,0.0055016386775991796,0.014752592531833333
33,0.5,3.3000000000000003,1.3118632106590513,0.0019146311266648145,0.000526334694724665
34,0.5,3.4000000000000004,1.0866081564165437,0.002415554627334532,0.0003976193209488546
35,0.5,3.5,1.867927204907632,-0.005061671800612889,0.012466916017871171
36,0.5,3.6,0.23425882747620397,0.0008817159204713587,0.009147937297546843
37,0.5,3.7,5.998932299406082,-5.578979090056655,4.659739045335671
38,0.5,3.8000000000000003,0.20639864814569306,0.00040556422058689887,0.00413854117138765
39,0.5,3.9000000000000004,0.8607967389661246,0.0026608850461222492,0.00024512066410916603
40,0.5,4.0,1.5588714564126942,0.0022272946224024,1.026973699714391
41,0.6,0.0,1.6003070071482548,-0.0001548716413125564,0.9563829819766485
42,0.6,0.1,0.21777076622538183,0.00040242760756770927,0.00529585415297909
43,0.6,0.2,1.430375446062932,0.0010578945966820174,0.0017814569041823222
44,0.6,0.30000000000000004,0.23543073154437616,-0.004142894532583902,0.009216389533926199
45,0.6,0.4,0.27065493166890664,0.00045957002683924103,0.014093398051953332
46,0.6,0.5,0.27346129380933953,-0.006731962784586331,0.016674532161071287
47,0.6,0.6000000000000001,0.21386321417887583,0.00044427458990778845,0.005780751356300002
48,0.6,0.7000000000000001,0.9131768761592425,0.002549140260459529,0.0002649769263800937
49,0.6,0.8,1.4865441462259517,0.0015000471182727323,0.0006066203851442535
50,0.6,0.9,1.2759169335653064,0.0016114539139882663,0.0038461145468676895
51,0.6,1.0,0.22955986702792186,0.0038129582930588844,0.006976253760395717
52,0.6,1.1,0.262414854444258,0.004215252334754721,0.01259121487174036
53,0.6,1.2000000000000002,0.2687694408495944,0.00047177932136072153,0.01383425315595143
54,0.6,1.3,0.22800088769820348,-0.0006723374661853866,0.007100188809840757
55,0.6,1.4000000000000001,0.2874826904562173,-0.02279671773368809,0.02192060496832606
56,0.6,1.5,0.6890340153441279,-0.41673677213818555,0.2628849126784577
57,0.6,1.6,0.5745010586913145,0.002365794811548005,7.824680208235035e-05
58,0.6,1.7000000000000002,0.18117729452092218,0.004382872854820525,0.0019833056256562684
59,0.6,1.8,1.7659427229394704,0.002894124540024573,1.0235553092285725
60,0.6,1.9000000000000001,0.16674369403782147,0.0003938542060274756,0.0013786153171562068
61,0.6,2.0,0.25136947934521126,0.0022494204550867966,0.009836048341310029
62,0.6,2.1,0.30530182650798815,0.002683513566605394,0.0228085479940016
63,0.6,2.2,0.23226238155479056,-0.00316023959738645,0.0077371795300723335
64,0.6,2.3000000000000003,0.3054521910679796,0.008581445958776792,0.018318457399057762
65,0.6,2.4000000000000004,0.29221449847433356,0.0039722430182783375,0.019826136703747967
66,0.6,2.5,61.66719429036695,-31.37807047280728,30.45769670739494
67,0.6,2.6,0.7986449973541427,0.004282773777772718,0.0005281499040750378
68,0.6,2.7,1.108267100230191,0.0023520777941889214,0.0003990476023669283
69,0.6,2.8000000000000003,0.18473632379447863,0.0041303477737521885,0.002592998309593421
70,0.6,2.9000000000000004,0.22886692656879276,0.0035400210847602556,0.00742131088294546
71,0.6,3.0,0.15497502195644192,0.004717595288413399,0.00032289461436039394
72,0.6,3.1,0.22143837863125093,-0.005817318346949974,0.0068809510084974854
73,0.6,3.2,0.21454521595615822,0.000622046225138247,0.0049482659885923645
74,0.6,3.3000000000000003,0.24968235718698115,-0.005788726094205219,0.01122062117843269
75,0.6,3.4000000000000004,0.259203490696996,0.0007607898986478694,0.012115712087249014
76,0.6,3.5,0.28127785380274983,0.004105679769455231,0.01664538904197651
77,0.6,3.6,0.3022571255183137,0.001715851536679765,0.01870625305460765
78,0.6,3.7,0.211539218548368,0.0004072889333039648,0.005000813961702374
79,0.6,3.8000000000000003,0.18026409565629892,0.004351855283384729,0.0018300403295097183
80,0.6,3.9000000000000004,0.2270194401665978,0.002628008713544772,0.007353672544424395
81,0.6,4.0,0.8521775829430052,0.0028532629082278676,0.0002918820268673815
82,0.7,0.0,0.23009976860641546,0.0004741489479957007,0.006901179824788086
83,0.7,0.1,0.21678732519699886,0.0004171236673153018,0.005242723892915402
84,0.7,0.2,0.20718219060230364,0.00047806977375879686,0.0043399204564006
85,0.7,0.30000000000000004,3.123372586440199,-1.6368866330239127,2.6367312358633983
86,0.7,0.4,0.21912322942368348,0.008722690364194274,0.003985966221188841
87,0.7,0.5,1.6156475848328795,-1.0967034894506906e-05,1.0191411124929113
88,0.7,0.6000000000000001,0.17269525156182275,0.00044634687677015715,0.001730351364139817
89,0.7,0.7000000000000001,0.30164762756834884,-0.007626886383557775,0.025361896599004934
91,0.7,0.9,0.2599070918212519,0.00038459267201397204,0.011676800068171041
92,0.7,1.0,17.23973103750575,-17.31380555024993,18.335948693145646
93,0.7,1.1,0.9244077778278712,-0.47697635812235867,0.442876297252317
94,0.7,1.2000000000000002,1.4431737252659502,0.0023973250718667435,0.0028191338461139746
95,0.7,1.3,0.17999361268624586,0.004363018153332201,0.00015326002211793
96,0.7,1.4000000000000001,0.2904254804400134,0.0004961461266970633,0.019631966023321838
97,0.7,1.5,0.23927915769647676,0.00469136571038445,0.009494476513920876
98,0.7,1.6,0.2917295657905694,0.007586494952401759,0.01715850227848524
99,0.7,1.7000000000000002,1.8157884448643795,0.00016927958217581482,0.0019268484104197213
100,0.7,1.8,0.3370280393221239,-0.0031333847179826676,0.032373853852054144
101,0.7,1.9000000000000001,0.6992264412628173,0.010408572717099662,0.0015878414506094105
102,0.7,2.0,0.6510505929168751,0.0036087308141646924,0.0002773387858965988
103,0.7,2.1,0.19037635422260146,0.00038699343522980014,0.0031800463989002663
104,0.7,2.2,0.2086478994579997,0.0004098122491306787,0.004455127554224513
105,0.7,2.3000000000000003,0.23009353382421782,-0.00207288663892774,0.007854553231770065
106,0.7,2.4000000000000004,0.1688697773659016,0.0005753601358113452,0.001783534414804594
107,0.7,2.5,0.2457760347049907,0.004280172510528032,0.010443993498443955
108,0.7,2.6,2.03328996811374,-0.01627939945687523,0.01893193245686959
109,0.7,2.7,0.2272489436354581,0.0004149496355733179,0.006715250689458312
110,0.7,2.8000000000000003,0.3630682400919816,0.004549716940157823,0.000180898757163955
111,0.7,2.9000000000000004,0.3664477363851131,-0.0017696957674333737,0.03903715708641804
112,0.7,3.0,0.27028536336068676,0.0034429770835693804,0.015387218972507496
113,0.7,3.1,1.5887191786718207,0.002856223655085748,1.0281217684208481
114,0.7,3.2,0.17576857460472445,0.00043332293879659416,0.00239441116376471
115,0.7,3.3000000000000003,0.20831257811474407,0.003107505799474204,0.003989048791189538
116,0.7,3.4000000000000004,1.1265144722987372,0.003910910097726948,0.002123895407427261
117,0.7,3.5,0.17356672207416968,0.0003550439507377678,0.0018412094165538998
118,0.7,3.6,0.18798628887208024,0.00033098489465030207,0.002825528263089033
119,0.7,3.7,1.5378549665365155,0.0015250569421893976,0.0004770658894992678
120,0.7,3.8000000000000003,0.28434087197807606,0.004081793611094289,0.017743271313159656
121,0.7,3.9000000000000004,0.3037994623814609,-0.01884801487895231,0.02914607008138838
122,0.7,4.0,0.3039041990091992,-0.021532902251300348,0.026572694089257737
123,0.7999999999999999,0.0,0.24760336602329314,-0.005053978314375235,0.010955457982363172
124,0.7999999999999999,0.1,0.29603728752210007,0.0004500196027413894,0.02123054389623131
125,0.7999999999999999,0.2,0.2285387740896179,0.0016491896107345733,0.007875451041963005
126,0.7999999999999999,0.30000000000000004,0.2624909477955072,0.00034488442620441687,0.012398004166043832
127,0.7999999999999999,0.4,0.18306994263707524,0.0004937496610750393,0.0024094170670176302
128,0.7999999999999999,0.5,2.674863009924973,-0.12351356042515549,0.1335172882025173
129,0.7999999999999999,0.6000000000000001,1.5036447960272834,0.0002746746994568531,1.0216202593077401
130,0.7999999999999999,0.7000000000000001,0.1845660117566462,0.00047834968240767636,0.0030098354400913173
131,0.7999999999999999,0.8,1.8610486436119262,0.0003945775191195595,0.000974153604844026
132,0.7999999999999999,0.9,1.6761089576451198,-0.0009298356402015068,0.9661561200606867
133,0.7999999999999999,1.0,0.19833215113271518,-0.0001868837765147221,0.0038512170719313225
134,0.7999999999999999,1.1,1.1989374662333967,0.002576224879664881,0.009514665250294235
135,0.7999999999999999,1.2000000000000002,0.19001259996858816,8.041448431111203e-05,0.002770998452692533
136,0.7999999999999999,1.3,0.24071546899820917,-0.0024044765916664025,0.009542978905874966
137,0.7999999999999999,1.4000000000000001,0.27299414723465265,0.0004608827862647458,0.014195460860535917
138,0.7999999999999999,1.5,0.20383697746290663,0.0007837850314055153,0.0045820987456058285
139,0.7999999999999999,1.6,0.2774757803456287,0.003618839408134813,0.01274547432344205
140,0.7999999999999999,1.7000000000000002,0.31454079408888824,-0.01601275986723134,0.030299392616203846
141,0.7999999999999999,1.8,1.01577306968335,0.0025367036006050158,0.0003472151941302876
142,0.7999999999999999,1.9000000000000001,1.0507100648041074,0.0025838181568700884,0.0004156947988948656
143,0.7999999999999999,2.0,0.20814949598945542,0.004120019779379069,0.00512617610742951
144,0.7999999999999999,2.1,0.23075195018858535,-0.005322515782183181,0.008286836404909695
145,0.7999999999999999,2.2,0.20802792469477666,0.004367909836719431,0.003638609482603034
146,0.7999999999999999,2.3000000000000003,1.0037825785174717,0.002570173211463707,0.00035037913570832115
147,0.7999999999999999,2.4000000000000004,0.21091836626373933,0.0004167513741555483,0.004984694157606122
148,0.7999999999999999,2.5,1.4978219884234603,-0.000953008103843064,1.0058984510372873
149,0.7999999999999999,2.6,0.24584301943241882,0.0043992334541598154,0.00856945386634514
150,0.7999999999999999,2.7,0.24815532683238012,-0.00037142222555784665,0.012193027175252658
151,0.7999999999999999,2.8000000000000003,0.20751443098680664,0.004101100511271183,0.0046612682999200485
152,0.7999999999999999,2.9000000000000004,0.30350401567639,0.003805219760927802,0.02052770932300269
153,0.7999999999999999,3.0,0.21966015741904538,0.00046656422883307156,0.005756663037031691
154,0.7999999999999999,3.1,0.24397155352359534,0.0005096448438846298,0.009106724093845636
155,0.7999999999999999,3.2,0.2501623654405449,0.0004186173988536227,0.009789777874319304
156,0.7999999999999999,3.3000000000000003,0.28421748229072485,-0.0033643347682163673,0.016177630744364763
157,0.7999999999999999,3.4000000000000004,0.19665093609943268,0.0038075423627325147,0.003258516833298915
158,0.7999999999999999,3.5,0.32082900553279914,-0.018325779874180853,0.02782801476961154
159,0.7999999999999999,3.6,1.453562675747916,-0.0007792226977436103,1.0025101667617204
160,0.7999999999999999,3.7,0.21245037574516545,0.0005601247636971994,0.005161819464236711
161,0.7999999999999999,3.8000000000000003,0.2992628994204778,-0.019977984855825418,0.023653489133603232
162,0.7999999999999999,3.9000000000000004,1.5908211280252087,-0.0018193046193895669,1.0018748765738854
163,0.7999999999999999,4.0,0.1696546151558143,0.00035585730397160397,0.0016606403328064063
164,0.8999999999999999,0.0,0.21440393649806627,0.0003555745203939095,0.0043678649529202505
165,0.8999999999999999,0.1,0.3469564261987198,-0.0032921516283112087,0.037485155707896234
166,0.8999999999999999,0.2,0.1981885878954815,9.088537716181736e-05,0.003340654154309497
167,0.8999999999999999,0.30000000000000004,0.2155475634744144,0.0003278750083456685,0.005410999641441382
168,0.8999999999999999,0.4,2.8967709617260358,-0.1351465594317806,0.13363358778834822
169,0.8999999999999999,0.5,0.3332494110724554,0.0007438663746848629,0.02542358710127582
170,0.8999999999999999,0.6000000000000001,1.472287602869558,-6.137213142603253e-07,1.0528231911824966
171,0.8999999999999999,0.7000000000000001,0.36798896862027447,-0.017984087095390483,0.03443551475510252
172,0.8999999999999999,0.8,0.15241484638327424,0.0003570084893527323,0.0008389771078962439
173,0.8999999999999999,0.9,0.2946336691288747,-0.004130100524039733,0.022162704394892596
174,0.8999999999999999,1.0,11.432349455676047,-10.877285609906757,11.884355589945873
175,0.8999999999999999,1.1,0.31135479396756427,-0.0007930025208733397,0.02683732597283587
176,0.8999999999999999,1.2000000000000002,0.26369819689339036,0.004150468721838919,0.011790768522387376
177,0.8999999999999999,1.3,0.24222264336541832,0.00056189500140979,0.009360444522877197
178,0.8999999999999999,1.4000000000000001,2.0044178609873398,-0.00784417754888038,0.01054199162878941
179,0.8999999999999999,1.5,1.526906206295803,-0.0007452885806270994,0.9699045822501249
180,0.8999999999999999,1.6,0.269140333928491,-0.00422349612598916,0.01658578554975162
181,0.8999999999999999,1.7000000000000002,0.2296782905145358,-0.00024457178470256114,0.007008246905644645
182,0.8999999999999999,1.8,214.09786281447532,-176.1076728152475,175.2916300281181
183,0.8999999999999999,1.9000000000000001,0.21824618055372313,0.00044238074645438217,0.005713198786565805
184,0.8999999999999999,2.0,0.2373503148133405,0.00044613686827343343,0.008391006576988096
185,0.8999999999999999,2.1,0.21138776800879883,0.00041305016204383336,0.006021513726053111
186,0.8999999999999999,2.2,0.6328218214763086,0.004636213231490964,0.0004057918648896153
187,0.8999999999999999,2.3000000000000003,1.6583614375467448,-0.0013902066751597855,1.068133336694841
188,0.8999999999999999,2.4000000000000004,1.5009988831016177,0.0014830217252385434,0.005304394387294551
189,0.8999999999999999,2.5,0.24453327684553144,0.00023955568840770922,0.00873052870225666
190,0.8999999999999999,2.6,0.18342720874688018,0.0019804483095399537,0.0023744267988596622
191,0.8999999999999999,2.7,1.8064888246564013,-0.003899186429495641,1.0874553781422587
192,0.8999999999999999,2.8000000000000003,1.435341649241126,1.4137320743720587e-05,0.999991770344032
193,0.8999999999999999,2.9000000000000004,0.2022291909873335,0.0038979239515629337,0.0035221797207456978
194,0.8999999999999999,3.0,0.23563326998400932,-0.00039264953850936895,0.008675595527719442
195,0.8999999999999999,3.1,0.16120518978204068,0.000481303440764508,0.0011430473710325071
196,0.8999999999999999,3.2,0.23581138710146726,0.0011844813014330775,0.00828190987583613
197,0.8999999999999999,3.3000000000000003,0.1685726648981366,0.004933517438360726,0.0009686988969018582
198,0.8999999999999999,3.4000000000000004,0.26921837876561006,-0.015835690829988876,0.017181733570834246
199,0.8999999999999999,3.5,81467.7606616242,-88374.87215441358,88375.88329121863
200,0.8999999999999999,3.6,0.2844757761077572,0.00042260414256226574,0.0176442101865954
201,0.8999999999999999,3.7,0.2947436716776623,0.004206583379415488,0.021524779182158213
202,0.8999999999999999,3.8000000000000003,0.21914726369987597,0.002442075551376882,0.005077999876066061
203,0.8999999999999999,3.9000000000000004,0.23726584155571084,0.0003809178837779711,0.007869463694435527
204,0.8999999999999999,4.0,1.2285875720499133,0.0019123497179854296,0.00311162556412421
205,0.9999999999999999,0.0,0.20823080395796817,0.0004982592809892503,0.005340694464900055
206,0.9999999999999999,0.1,0.22467656471135555,0.000416828301041668,0.006601653454971029
207,0.9999999999999999,0.2,1.314938526199154,0.001811748105675103,0.8896626139052047
208,0.9999999999999999,0.30000000000000004,0.2734449547152874,0.0004218386798173616,0.015341345134134737
209,0.9999999999999999,0.4,0.27241845731023695,0.0010465045413356518,0.01557604599429754
210,0.9999999999999999,0.5,1.2327239171059694,0.0023096974178833064,0.0019134136276010602
211,0.9999999999999999,0.6000000000000001,0.1872732071549985,0.00038613505574553234,0.002925507475012183
212,0.9999999999999999,0.7000000000000001,1.4634621358696975,0.00020696414874249878,1.053967331630994
213,0.9999999999999999,0.8,0.23434569395308597,-0.0035490044637532187,0.008244162821987585
214,0.9999999999999999,0.9,0.23214445510745219,0.001963266706957817,0.008104189838083536
215,0.9999999999999999,1.0,31.70600831980584,-9.736858859841767,8.951223614436158
216,0.9999999999999999,1.1,0.6272264617069947,0.00759536246065985,0.0012061345142897221
217,0.9999999999999999,1.2000000000000002,0.28036319731599213,0.00046996474720414937,0.015533749706575273
218,0.9999999999999999,1.3,1.6517418750934332,-0.002188647701399726,1.1031793607874878
219,0.9999999999999999,1.4000000000000001,0.21367221127848723,-0.0008925499209579092,0.005209040070484288
220,0.9999999999999999,1.5,1.575416235797782,-0.001726971830993819,1.0609387436942455
221,0.9999999999999999,1.6,0.3163747029090081,0.0048916380385277194,0.02762132931974348
222,0.9999999999999999,1.7000000000000002,1.2989426243948796,0.0017764910390333985,0.002122007820924975
223,0.9999999999999999,1.8,1.5822269556246042,0.000644773129985197,1.020325291937883
224,0.9999999999999999,1.9000000000000001,1.6358848814474065,-0.0010686580329872138,1.0258383775124618
225,0.9999999999999999,2.0,0.3154912760520374,-0.03222275417119026,0.026348541277463063
226,0.9999999999999999,2.1,0.28850536509654784,0.0004311771226050275,0.019108003181345153
227,0.9999999999999999,2.2,0.20270818829354365,0.0004537499982790592,0.0044566196615982035
228,0.9999999999999999,2.3000000000000003,0.27887119475137534,0.004006087977283301,0.018926277409853434
229,0.9999999999999999,2.4000000000000004,1.5554549555447998,-0.001284141539597527,1.057221988803084
